user_nickname, title, likes, not_likes, publish_date, url, views
davidgibson,Meinhard_II_of_Carinthia,7816,1373,2025-07-31,https://en.wikipedia.org/wiki/Meinhard_II_of_Carinthia,9189.0
fuentesbrandon,Barefoot_Truth,8769,8921,2024-01-14,https://en.wikipedia.org/wiki/Barefoot_Truth,
john90,"Manso,_Upper_Corsica",9391,6164,2024-08-26,"https://en.wikipedia.org/wiki/Manso,_Upper_Corsica",15555.0
tmcclain,Ito-toren_(Amsterdam),7956,7557,2022-02-23,https://en.wikipedia.org/wiki/Ito-toren_(Amsterdam),15513.0
clarkcrystal,Willie_McQueen,4589,7435,2024-01-01,https://en.wikipedia.org/wiki/Willie_McQueen,12024.0
nmerritt,Stephen_Weah,9392,1655,2024-08-26,https://en.wikipedia.org/wiki/Stephen_Weah,11047.0
bmolina,Pete_Wells,5599,4969,2022-12-01,https://en.wikipedia.org/wiki/Pete_Wells,10568.0
tmcguire,Try_It_Out_(Skrillex_and_Alvin_Risk_song),1220,9848,2022-02-14,https://en.wikipedia.org/wiki/Try_It_Out_(Skrillex_and_Alvin_Risk_song),11068.0
padillajeremy,Microsoft_Visual_Web_Developer_Express,1872,8061,2021-08-31,,
washingtonjoshua,Bennington-Rutland-1_District,2287,5061,2025-11-12,https://en.wikipedia.org/wiki/Bennington-Rutland-1_District,7348.0
linda59,EC_2.4.99.9,4903,4043,2022-07-19,https://en.wikipedia.org/wiki/EC_2.4.99.9,8946.0
kevin38,Soomepoisid,4954,5908,2022-01-20,https://en.wikipedia.org/wiki/Soomepoisid,10862.0
brandi65,FC_Shakhtyor_Kiselyovsk,9182,1190,2023-09-24,https://en.wikipedia.org/wiki/FC_Shakhtyor_Kiselyovsk,10372.0
christopher44,Bhopal_-_Jodhpur_Passenger,6620,9038,2021-08-10,https://en.wikipedia.org/wiki/Bhopal_-_Jodhpur_Passenger,
qjensen,Brachydactylia,8535,3328,2022-07-25,https://en.wikipedia.org/wiki/Brachydactylia,11863.0
jacksonelizabeth,Rackets_(sport),6898,9191,2024-04-11,https://en.wikipedia.org/wiki/Rackets_(sport),16089.0
theresaalexander,List_of_public_art_in_Hammersmith_and_Fulham,3616,7036,2023-02-26,https://en.wikipedia.org/wiki/List_of_public_art_in_Hammersmith_and_Fulham,10652.0
anthonytorres,Waiting_in_the_Wings_(Daryl_Stuermer_album),3498,3168,2021-09-04,https://en.wikipedia.org/wiki/Waiting_in_the_Wings_(Daryl_Stuermer_album),6666.0
jeffrey07,Yaumati_Ferry,8322,4416,2021-01-03,https://en.wikipedia.org/wiki/Yaumati_Ferry,12738.0
cbrown,Internet_censorship_in_South_Africa,1115,3975,2021-01-22,https://en.wikipedia.org/wiki/Internet_censorship_in_South_Africa,5090.0
staceyroy,Kalenborn-Scheuern,3143,7452,2023-04-15,https://en.wikipedia.org/wiki/Kalenborn-Scheuern,10595.0
michelle96,Doris_decora,9857,8934,2022-12-29,https://en.wikipedia.org/wiki/Doris_decora,18791.0
