article,donation_amount,donation_date
Sufjan_Stephens,296.58,2022-10-20
Bujak,395.62,2023-11-05
Scottish_language_in_Canada,354.3,2021-03-08
Phalaena_lichenella,493.72,2021-01-04
Ian_Black_(footballer),19.3,2025-06-29
Lynda_barnes,111.41,2024-09-29
HMS_Boreas_(1757),136.84,2023-07-14
Vaterlaendische_Union,438.89,2023-03-26
Sooam_Biotech_Research_Foundation,2.91,2021-02-25
Affiliate_Te_Arawa_Iwi_and_Hapu_Claims_Settlement_Act_2008,26.7,2024-07-06
Notable_alumni:_Old_Lancing_(OLs),114.17,2021-07-26
"Radostowo,_Pomeranian_Voivodeship",406.27,2022-11-19
Utah_State_Route_254_(1953-1969),48.87,2024-10-28
Tanneron,196.82,2024-01-20
Kazi_Tajuddeen_ITI,185.74,2022-12-18
Medcaut,441.79,2023-04-11
Software_Libre,48.58,2021-06-15
1_2_Step,194.17,2021-01-20
"St._Leonard,_NB",343.46,2021-02-15
Monotropa_hypophegea,369.45,2025-06-18
NATO-Ireland_relations,403.48,2020-12-16
"Prattville,_OK",178.77,2025-09-21
Hard_Hat_diving,456.83,2022-12-21
Kim_Kyong_Hwa,421.91,2022-10-26
BRICS_Football_Cup,498.88,2025-06-11
Nagi_Springfield,244.75,2024-06-01
My_So_Called_Wife,22.21,2022-07-20
Quarnford,435.0,2023-08-06
Far_Ultraviolet_Camera/Spectrograph,285.71,2023-03-07
Armenian_publishing,479.63,2021-06-04
Ausejo,164.03,2025-03-03
The_Shipping_Gazette_and_Sydney_General_Trade_List,443.08,2022-03-23
Mustapha_Hadji,191.34,2021-06-25
Vysoke_Tatry_(town),418.4,2025-09-26
Ponticulus_posticus,239.96,2024-10-15
1926-27_Northern_Football_League,334.17,2023-11-18
Kathryn_Tully_(Drive_character),437.56,2022-03-12
"Satan_Is_Real_Again,_or_Feeling_Good_About_Bad_Thoughts",474.74,2022-01-19
Lockheed_R5O,224.46,2024-05-11
The_Waifs_discography,27.34,2024-01-27
Karmanowice,129.08,2025-08-03
Arizona_cotton_rat,308.57,2024-02-14
Great_West_Run,129.85,2023-03-12
Mazraeh-ye_Nim_Farsakh,490.8,2023-10-04
List_of_rulers_of_the_Gurma_Mossi_state_of_Kuala,339.08,2022-09-18
Democratic_Fellowship_of_Vojvodina_Hungarians,125.26,2025-10-09
Introduce,26.12,2025-07-25
Bamford_and_Martin,312.66,2025-05-16
Baku_pogrom,420.59,2022-11-29
Akeleng,156.55,2024-08-07
"Willingdon_College,_Sangli",45.08,2025-05-28
Documentary_style,213.01,2020-12-25
Sahaptianic_languages,150.57,2024-10-28
Mehul_M._Atha,417.24,2023-10-07
Organic_valley_Inc.,211.91,2022-06-17
Bianka_Panova,469.82,2024-07-10
"Canepa,_Steven",159.77,2024-06-29
Hypercallia_haematella,272.09,2025-03-24
John_Comiskey_(football_player),348.7,2025-03-05
2016_Tennessee_Volunteers_baseball_team,260.55,2021-09-25
Minsk_Voblasts,450.15,2024-05-14
Texas_State_Library_and_Archives_Commission,353.66,2024-03-25
Storo-Bocko-Lokao_Nature_Reserve,210.24,2022-07-30
Bromocyan,140.12,2023-03-23
Cladophora_sauteri,346.53,2024-02-19
Maurice_Morgann,430.66,2022-11-23
Sphingomonas_aestuarii,347.88,2022-05-01
Whitman_National_Forest,360.09,2024-07-09
Murray_Lincoln_McFarlane,412.44,2023-12-03
John_Lackland_of_England,444.4,2025-08-11
Cacoecia_revolutana,49.38,2023-02-06
Silvio_Rodriguez,146.97,2021-02-27
Tongcheng_dialect,390.93,2021-12-02
Katy_Mills,453.44,2022-11-14
